Feature: telephone	 	Log Val: 4.382026634673881		 Sense: PHONE 
Feature: sale		Log Val: 3.0794415416798357		 Sense: PRODUCT 
Feature: corp		Log Val: 3.0794415416798357		 Sense: PRODUCT 
Feature: stores		Log Val: 3.0794415416798357		 Sense: PRODUCT 
Feature: incs		Log Val: 3.0794415416798357		 Sense: PRODUCT 
Feature: frozen		Log Val: 3.0794415416798357		 Sense: PRODUCT 
Feature: access	 	Log Val: 3.044522437723423		 Sense: PHONE 
Feature: sold		Log Val: 2.9459101490553135		 Sense: PRODUCT 
Feature: under		Log Val: 2.9459101490553135		 Sense: PRODUCT 
Feature: designed		Log Val: 2.9459101490553135		 Sense: PRODUCT 
Feature: american		Log Val: 2.9459101490553135		 Sense: PRODUCT 
Feature: share		Log Val: 2.9459101490553135		 Sense: PRODUCT 
Feature: analyst		Log Val: 2.9459101490553135		 Sense: PRODUCT 
Feature: includes		Log Val: 2.9459101490553135		 Sense: PRODUCT 
Feature: 20		Log Val: 2.9459101490553135		 Sense: PRODUCT 
Feature: 50		Log Val: 2.9459101490553135		 Sense: PRODUCT 
Feature: food		Log Val: 2.9459101490553135		 Sense: PRODUCT 
Feature: apparel		Log Val: 2.9459101490553135		 Sense: PRODUCT 
Feature: analysts		Log Val: 2.871802176901592		 Sense: PRODUCT 
Feature: international		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: gm		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: way		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: vice		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: nearly		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: old		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: kraft		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: priced		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: clones		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: compatible		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: 18		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: apple		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: toys		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: 14		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: shoe		Log Val: 2.791759469228055		 Sense: PRODUCT 
Feature: call	 	Log Val: 2.772588722239781		 Sense: PHONE 
Feature: voice	 	Log Val: 2.70805020110221		 Sense: PHONE 
Feature: you	 	Log Val: 2.70805020110221		 Sense: PHONE 
Feature: rose		Log Val: 2.7047480922384253		 Sense: PRODUCT 
Feature: fed	 	Log Val: 2.6390573296152584		 Sense: PHONE 
Feature: k		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: likely		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: sources		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: next		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: include		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: technology		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: strategy		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: 1988		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: reduced		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: 3		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: 100		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: earlier		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: planned		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: april		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: 1989		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: 34		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: existing		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: standard		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: 1986		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: morris		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: problems		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: powerful		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: consider		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: offering		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: limited		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: trying		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: mass		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: 31		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: fiscal		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: os2		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: items		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: toy		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: motor		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: pc		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: fields		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: aimed		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: plant		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: chemicals		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: fourth		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: months		Log Val: 2.6094379124341005		 Sense: PRODUCT 
Feature: years		Log Val: 2.55814461804655		 Sense: PRODUCT 
Feature: ibm		Log Val: 2.550597412411167		 Sense: PRODUCT 
Feature: development		Log Val: 2.504077396776274		 Sense: PRODUCT 
Feature: computers		Log Val: 2.504077396776274		 Sense: PRODUCT 
Feature: bell	 	Log Val: 2.4849066497880004		 Sense: PHONE 
Feature: dead	 	Log Val: 2.4849066497880004		 Sense: PHONE 
Feature: price		Log Val: 2.466337068793427		 Sense: PRODUCT 
Feature: she	 	Log Val: 2.3978952727983707		 Sense: PHONE 
Feature: its		Log Val: 2.394878104811282		 Sense: PRODUCT 
Feature: offered		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: profit		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: big		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: cos		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: ever		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: 60		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: 2		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: national		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: lost		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: units		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: makes		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: lot		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: 1987		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: separate		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: sells		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: base		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: declined		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: reported		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: entrees		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: philip		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: similar		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: lower		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: estimated		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: focus		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: agreement		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: womens		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: worldwide		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: boost		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: fit		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: expects		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: nonfood		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: division		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: complete		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: makers		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: buyers		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: exclusive		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: luxury		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: smith		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: mart		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: space		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: retailers		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: launch		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: gms		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: motors		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: truck		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: produce		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: introduce		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: chevrolet		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: combined		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: 1990		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: expect		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: looking		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: older		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: chain		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: chips		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: version		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: want		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: label		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: remain		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: options		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: though		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: remaining		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: apples		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: macintosh		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: retail		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: 250		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: credit		Log Val: 2.386294361119891		 Sense: PRODUCT 
Feature: computer		Log Val: 2.3437347467010947		 Sense: PRODUCT 
Feature: companys		Log Val: 2.3217558399823197		 Sense: PRODUCT 
Feature: came	 	Log Val: 2.302585092994046		 Sense: PHONE 
Feature: him	 	Log Val: 2.302585092994046		 Sense: PHONE 
Feature: competition		Log Val: 2.252762968495368		 Sense: PRODUCT 
Feature: shares		Log Val: 2.252762968495368		 Sense: PRODUCT 
Feature: consumer		Log Val: 2.252762968495368		 Sense: PRODUCT 
Feature: market		Log Val: 2.2367626271489267		 Sense: PRODUCT 
Feature: calls	 	Log Val: 2.1972245773362196		 Sense: PHONE 
Feature: banks	 	Log Val: 2.1972245773362196		 Sense: PHONE 
Feature: longdistance	 	Log Val: 2.1972245773362196		 Sense: PHONE 
Feature: telecommunications	 	Log Val: 2.1972245773362196		 Sense: PHONE 
Feature: people	 	Log Val: 2.1972245773362196		 Sense: PHONE 
Feature: software		Log Val: 2.1786549963416464		 Sense: PRODUCT 
Feature: 45		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: features		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: return		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: enough		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: 58		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: model		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: being		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: most		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: unit		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: ltd		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: 70		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: introduction		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: ii		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: different		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: department		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: think		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: popular		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: make		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: problem		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: annual		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: design		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: weeks		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: largely		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: increases		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: closing		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: drugs		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: potential		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: series		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: around		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: early		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: despite		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: because		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: made		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: need		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: easier		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: included		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: patch		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: start		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: cover		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: europe		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: large		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: performance		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: although		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: however		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: trucks		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: latest		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: push		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: pressure		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: store		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: instance		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: establish		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: launched		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: bought		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: competitors		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: midrange		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: parts		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: jenko		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: calvin		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: klein		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: skincare		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: talks		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: should		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: furniture		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: intel		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: cuts		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: microprocessor		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: beatrices		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: shedding		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: consists		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: things		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: jaclyn		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: partly		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: manufacturers		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: bigger		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: example		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: tires		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: better		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: tire		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: gold		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: discounts		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: compaqs		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: announcement		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: predicted		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: along		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: biggest		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: childrens		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: corsica		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: fell		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: traditional		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: specialty		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: toyota		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: aggressive		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: bid		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: agreed		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: top		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: plc		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: revlon		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: interested		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: interests		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: inventories		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: ahead		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: goods		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: gm10		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: average		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: benefiting		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: production		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: overthecounter		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: cereal		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: brand		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: nations		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: manager		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: built		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: menswear		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: dinners		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: fall		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: sophisticated		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: poyner		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: water		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: manufacturing		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: particularly		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: adult		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: cited		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: grand		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: prix		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: appears		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: ford		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: heavy		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: micro		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: channel		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: significant		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: cabbage		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: restructuring		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: loss		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: armonk		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: microsoft		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: presence		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: licensing		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: workstations		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: midsize		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: continued		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: indeed		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: stouffer		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: acquisitions		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: blue		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: bit		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: tonka		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: cards		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: charged		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: bath		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: wooden		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: margins		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: parties		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: filter		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: crays		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: ads		Log Val: 2.09861228866811		 Sense: PRODUCT 
Feature: network	 	Log Val: 2.0794415416798357		 Sense: PHONE 
Feature: gab	 	Log Val: 2.0794415416798357		 Sense: PHONE 
Feature: communications	 	Log Val: 2.0794415416798357		 Sense: PHONE 
Feature: information	 	Log Val: 2.0794415416798357		 Sense: PHONE 
Feature: york	 	Log Val: 2.0149030205422647		 Sense: PHONE 
Feature: services	 	Log Val: 1.9459101490553132		 Sense: PHONE 
Feature: callers	 	Log Val: 1.9459101490553132		 Sense: PHONE 
Feature: my	 	Log Val: 1.9459101490553132		 Sense: PHONE 
Feature: open	 	Log Val: 1.9459101490553132		 Sense: PHONE 
Feature: office	 	Log Val: 1.9459101490553132		 Sense: PHONE 
Feature: digital		Log Val: 1.916290731874155		 Sense: PRODUCT 
Feature: expected		Log Val: 1.916290731874155		 Sense: PRODUCT 
Feature: already		Log Val: 1.916290731874155		 Sense: PRODUCT 
Feature: 40		Log Val: 1.916290731874155		 Sense: PRODUCT 
Feature: executives		Log Val: 1.916290731874155		 Sense: PRODUCT 
Feature: wouldnt		Log Val: 1.916290731874155		 Sense: PRODUCT 
Feature: between		Log Val: 1.916290731874155		 Sense: PRODUCT 
Feature: program		Log Val: 1.916290731874155		 Sense: PRODUCT 
Feature: without		Log Val: 1.916290731874155		 Sense: PRODUCT 
Feature: acquired		Log Val: 1.916290731874155		 Sense: PRODUCT 
Feature: two		Log Val: 1.916290731874155		 Sense: PRODUCT 
Feature: until		Log Val: 1.916290731874155		 Sense: PRODUCT 
Feature: higher		Log Val: 1.916290731874155		 Sense: PRODUCT 
Feature: will		Log Val: 1.9057086225436182		 Sense: PRODUCT 
Feature: this		Log Val: 1.8602012652231115		 Sense: PRODUCT 
Feature: more		Log Val: 1.8574502318512218		 Sense: PRODUCT 
Feature: it		Log Val: 1.851752210736584		 Sense: PRODUCT 
Feature: marketing		Log Val: 1.8472978603872034		 Sense: PRODUCT 
Feature: ago		Log Val: 1.8472978603872034		 Sense: PRODUCT 
Feature: prices		Log Val: 1.8109302162163288		 Sense: PRODUCT 
Feature: said		Log Val: 1.8109302162163288		 Sense: PRODUCT 
Feature: phones	 	Log Val: 1.791759469228055		 Sense: PHONE 
Feature: charge	 	Log Val: 1.791759469228055		 Sense: PHONE 
Feature: there	 	Log Val: 1.791759469228055		 Sense: PHONE 
Feature: operator	 	Log Val: 1.791759469228055		 Sense: PHONE 
Feature: installed	 	Log Val: 1.791759469228055		 Sense: PHONE 
Feature: tollfree	 	Log Val: 1.791759469228055		 Sense: PHONE 
Feature: state	 	Log Val: 1.791759469228055		 Sense: PHONE 
Feature: pacific	 	Log Val: 1.791759469228055		 Sense: PHONE 
Feature: telesis	 	Log Val: 1.791759469228055		 Sense: PHONE 
Feature: rochester	 	Log Val: 1.791759469228055		 Sense: PHONE 
Feature: foreign	 	Log Val: 1.791759469228055		 Sense: PHONE 
Feature: bellsouth	 	Log Val: 1.791759469228055		 Sense: PHONE 
Feature: brokers	 	Log Val: 1.791759469228055		 Sense: PHONE 
Feature: we		Log Val: 1.7884573603642702		 Sense: PRODUCT 
Feature: year		Log Val: 1.719122666963206		 Sense: PRODUCT 
Feature: against		Log Val: 1.6931471805599454		 Sense: PRODUCT 
Feature: cut		Log Val: 1.6931471805599454		 Sense: PRODUCT 
Feature: demand		Log Val: 1.6931471805599454		 Sense: PRODUCT 
Feature: far		Log Val: 1.6931471805599454		 Sense: PRODUCT 
Feature: introducing		Log Val: 1.6931471805599454		 Sense: PRODUCT 
Feature: such		Log Val: 1.6931471805599454		 Sense: PRODUCT 
Feature: name		Log Val: 1.6931471805599454		 Sense: PRODUCT 
